Date,USDINR,USDJPY,USDGBP,USDEUR,USDCHF
2006-01,-4.49,-9.3,-3.34,-5.24,-16.91
2006-02,-4.49,-9.3,-3.34,-5.24,-16.91
2006-03,-4.49,-9.3,-3.34,-5.24,-16.91
2006-04,-4.49,-9.3,-3.34,-5.24,-16.91
2006-05,-4.49,-9.3,-3.34,-5.24,-16.91
2006-06,-4.68,-9.38,-2.89,-5.27,-16.79
2006-07,-4.68,-9.38,-2.89,-5.27,-16.79
2006-08,-4.68,-9.38,-2.89,-5.27,-16.79
2006-09,-4.69,-9.67,-2.91,-5.45,-17.74
2006-10,-4.69,-9.67,-2.91,-5.45,-17.74
2006-11,-4.69,-9.67,-2.91,-5.45,-17.74
2006-12,-4.68,-9.54,-2.62,-5.52,-18.21
2007-01,-4.68,-9.54,-2.62,-5.52,-18.21
2007-02,-4.68,-9.54,-2.62,-5.52,-18.21
2007-03,-4.62,-9.75,-2.39,-5.65,-16.81
2007-04,-4.62,-9.75,-2.39,-5.65,-16.81
2007-05,-4.62,-9.75,-2.39,-5.65,-16.81
2007-06,-4.31,-9.84,-2.25,-5.71,-16.65
2007-07,-4.31,-9.84,-2.25,-5.71,-16.65
2007-08,-4.31,-9.84,-2.25,-5.71,-16.65
2007-09,-4.23,-9.73,-1.61,-5.48,-16.08
2007-10,-4.23,-9.73,-1.61,-5.48,-16.08
2007-11,-4.23,-9.73,-1.61,-5.48,-16.08
2007-12,-3.98,-9.52,-1.16,-4.97,-13.27
2008-01,-3.98,-9.52,-1.16,-4.97,-13.27
2008-02,-3.98,-9.52,-1.16,-4.97,-13.27
2008-03,-3.42,-9.31,-1.17,-4.35,-11.5
2008-04,-3.42,-9.31,-1.17,-4.35,-11.5
2008-05,-3.42,-9.31,-1.17,-4.35,-11.5
2008-06,-3.61,-8.78,-0.69,-3.82,-10.24
2008-07,-3.61,-8.78,-0.69,-3.82,-10.24
2008-08,-3.61,-8.78,-0.69,-3.82,-10.24
2008-09,-2.9,-8.24,-0.92,-3.47,-6.8
2008-10,-2.9,-8.24,-0.92,-3.47,-6.8
2008-11,-2.9,-8.24,-0.92,-3.47,-6.8
2008-12,-2.29,-7.57,-0.89,-3.39,-5.98
2009-01,-2.29,-7.57,-0.89,-3.39,-5.98
2009-02,-2.29,-7.57,-0.89,-3.39,-5.98
2009-03,-2.32,-6.28,-0.22,-3.04,-4.36
2009-04,-2.32,-6.28,-0.22,-3.04,-4.36
2009-05,-2.32,-6.28,-0.22,-3.04,-4.36
